Ingredient,teaspoon,tablespoon,cup,large,large head,ounces,grams
Easy Roll Dough Improver,6,2,1/8,,,5/8,18
Egg (fresh),,,,1,,1 3/4,50
Egg white (fresh),,,,1,,1 to 1 1/4,30 to 35
Egg whites (dried),6,2,1/8,,,3/8,11
Egg yolk (fresh),,,,1,,1/2,14
Espresso Powder,3,1,1/16,,,1/4,7
Everything Bagel Topping,12,4,1/4,,,1 1/4,35
Figs (dried chopped),48,16,1,,,5 1/4,149
First Clear Flour,48,16,1,,,3 3/4,106
Flax meal,24,8,1/2,,,1 3/4,50
Flaxseed,12,4,1/4,,,1 1/4,35
Formaggio Italiano Cheese and Herb Blend,12,4,1/4,,,1,30
French-Style Flour,48,16,1,,,4 1/4,120
Fruitcake Fruit Blend,48,16,1,,,4 1/4,120
Garlic (cloves in skin for roasting),,,,,1,4,113
Garlic (minced),6,2,1/8,,,1,28
Garlic (peeled and sliced),48,16,1,,,5 1/4,149
Ghee,12,4,1/4,,,1 1/2,44
Ginger (fresh sliced),12,4,1/4,,,2,57
Gluten-Free All-Purpose Baking Mix,48,16,1,,,4 1/4,120
Gluten-Free All-Purpose Flour,48,16,1,,,5 1/2,156
Gluten-Free Bread Flour,48,16,1,,,4 1/4,120
Gluten-Free Measure for Measure Flour,48,16,1,,,4 1/4,120
Gluten-Free Pizza Flour,48,16,1,,,3 1/2,100
Gluten-Free sourdough starter (made with GF Bread Flour),48,16,1,,,6 to 6 1/2,170 to 185
Gluten-Free sourdough starter (made with GF Measure for Measure Flour),48,16,1,,,8 to 8 1/2,227 to 241
Glutinous rice flour,48,16,1,,,4 1/4,120
Golden Wheat Flour,48,16,1,,,4,113
Graham cracker crumbs,48,16,1,,,3 1/2,100
Granola,48,16,1,,,4,113
Grape Nuts,24,8,1/2,,,2,57
Guava paste,12,4,1/4,,,3 1/2,100
Harvest Grains Blend,24,8,1/2,,,2 5/8,74
Hazelnut flour,48,16,1,,,3 1/8,89
Hazelnut Praline Paste,24,8,1/2,,,5 1/2,156
Hazelnut spread,24,8,1/2,,,5 5/8,160
Hazelnuts (whole),48,16,1,,,5,142
Hi-Maize Natural Fiber,12,4,1/4,,,1 1/8,32
High-Gluten Flour,48,16,1,,,4 1/4,120
Honey,3,1,1/16,,,3/4,21
Instant Clearjel,3,1,1/16,,,3/8,11
Irish-Style Flour,48,16,1,,,3 7/8,110
Italian Herb Seasoning,6,2,1/8,,,1/2,14
Italian-Style Flour,48,16,1,,,3 3/4,106
Jam or preserves,12,4,1/4,,,3,85
Jammy Bits,48,16,1,,,6 1/2,184
Keto Wheat Flour,48,16,1,,,4 1/4,120
Keto Wheat Pizza Crust Mix,48,16,1,,,3 7/8,110
Key Lime Juice,48,16,1,,,8,227
Lard,24,8,1/2,,,4,113
Leeks (diced),48,16,1,,,3 1/4,92
Lemon Crumbles,48,16,1,,,6 1/3,180
Lemon Curd,24,8,1/2,,,4,113
Lemon juice,3,1,1/16,,,1/2,14
Lemon Juice Powder,6,2,1/8,,,5/8,18
Lime Juice Powder,6,2,1/8,,,5/8,18
Macadamia nuts (whole),48,16,1,,,5 1/4,149
Malt syrup,6,2,1/8,,,1 1/2,43
Malted Milk Powder,12,4,1/4,,,1 1/4,35
Malted Wheat Flakes,24,8,1/2,,,2 1/4,64
Maple Cinnamon French Toast Sugar,12,4,1/4,,,1 2/3,48
Maple Cream,6,2,1/8,,,1 1/2,42
Maple sugar,24,8,1/2,,,2 3/4,78
Maple syrup,24,8,1/2,,,5 1/2,156
Marshmallow Fluff,48,16,1,,,4 1/2,128
Marshmallow spread (homemade),48,16,1,,,2 1/2,72
Marshmallow spread (store-bought),48,16,1,,,4 1/3,123
Marshmallows (mini),48,16,1,,,1 1/2,43
Marzipan,48,16,1,,,10 1/8,290
Masa Harina,48,16,1,,,3 1/4,93
Mascarpone cheese,48,16,1,,,8,227
Mashed potatoes,48,16,1,,,7 1/2,213
Mashed sweet potatoes,48,16,1,,,8 1/2,240
Matcha powder,6,2,1/8,,,3/8,12
Mayonnaise,24,8,1/2,,,4,113
Medium Rye Flour,48,16,1,,,3 3/4,106
Meringue powder,12,4,1/4,,,1 1/2,43
Milk (evaporated),24,8,1/2,,,4,113
Milk (fresh),48,16,1,,,8,227
Millet (whole),24,8,1/2,,,3 5/8,103
Mini chocolate chips,48,16,1,,,6 1/4,177
Mini Diced Ginger,24,8,1/2,,,2 1/2,73
